tag,label,group,n_samples,n_unique_seqs,perfect_pct,puzzles_solved,n_puzzles,mean_jaccard,mean_ok_score,status
bidir_random_240mer,Ours: bidir_random argmax-only (K=1000),ours,20032,20032,33.24,13,20,0.8949,83.42,ok
orig_struct2seq_l2r_240mer,AR L→R argmax-only,AR_baseline,20032,340,14.35,5,20,0.8342,79.93,ok
bidir_motifs_structural_240mer,Ours: bidir + structural motif-preservation in-painting,ours_inpaint,20032,20032,25.69,13,20,0.8856,83.05,ok
orig_struct2seq_motifs_structural_240mer,AR + teacher-forced motif (argmax-only),AR_inpaint,20032,6028,11.17,7,20,0.8456,80.69,ok
bidir_identity_240mer,"Ours: bidir_identity (L→R from same checkpoint, argmax)",ours_ablation,20032,346,23.72,10,20,0.8075,79.64,ok
orig_struct2seq_3strategies_rescue_240mer,AR + 3-strategy + rescue,AR_full,20283,20243,6.64,17,20,0.7622,78.17,ok
orig_struct2seq_4strategies_rescue_240mer,AR + 4-strategy + rescue,AR_full,23098,23058,6.81,16,20,0.7774,78.56,ok
orig_motifs_structural_epsilon05_240mer,AR + teacher-forced motif + epsilon p=0.05 (K=333),AR_inpaint_per_strategy,6720,6702,8.87,13,20,0.8461,81.14,ok
orig_motifs_structural_epsilon10_240mer,AR + teacher-forced motif + epsilon p=0.10 (K=333),AR_inpaint_per_strategy,6336,6336,7.54,10,20,0.844,80.85,ok
orig_motifs_structural_qsoftmax_240mer,AR + teacher-forced motif + Q-softmax (K=333),AR_inpaint_per_strategy,6720,6720,0.04,2,20,0.5725,72.31,ok
orig_motifs_3strategies_faithful_240mer,AR + teacher-forced motif + 3-strategy mix,AR_inpaint_full,19776,19756,5.45,13,20,0.7525,78.05,ok
orig_motifs_3strategies_rescue_240mer,AR + teacher-forced motif + 3-strategy + rescue,AR_inpaint_full,20331,20311,5.33,14,20,0.7568,78.26,ok
bidir_random_rescue_240mer,Ours: bidir_random + Shujun-rescue,ours,20362,20362,32.7,13,20,0.8955,83.48,ok
bidir_motifs_structural_rescue_240mer,Ours: bidir + motif-preservation + rescue,ours_inpaint,20362,20362,25.28,13,20,0.8862,83.11,ok
